Factor,Level,Bivariate,Saturated,MICE
RAGENDER: R Gender,1,1,1,1
RAGENDER: R Gender,2,"1.18 (1.01, 1.37)*","1.11 (0.94, 1.31)","1.11 (0.94, 1.31)"
RACEETH,1,1,1,1
RACEETH,2,"1.13 (0.92, 1.39)","1.07 (0.84, 1.36)","1.07 (0.84, 1.36)"
RACEETH,3,"1.33 (1, 1.76)*","1.31 (0.97, 1.76)","1.31 (0.97, 1.76)"
RACEETH,4,"1.02 (0.62, 1.68)","1.09 (0.67, 1.76)","1.09 (0.67, 1.76)"
EDUCATION,0,1,1,1
EDUCATION,1,"1.19 (1.01, 1.41)*","1.06 (0.89, 1.27)","1.06 (0.89, 1.27)"
EDUCATION,2,"1.34 (1.05, 1.72)*","1.15 (0.88, 1.51)","1.15 (0.88, 1.51)"
WEALTH_CAT,0,1,1,1
WEALTH_CAT,1,"1.22 (1.05, 1.42)*","1.05 (0.87, 1.26)","1.05 (0.87, 1.26)"
MARRIED,0,1,1,1
MARRIED,1,"1.06 (0.9, 1.24)","1.15 (0.9, 1.48)","1.15 (0.9, 1.48)"
h4lvalone:w4 lives alone,0,1,1,1
h4lvalone:w4 lives alone,1,"1.02 (0.85, 1.22)","1.2 (0.92, 1.56)","1.2 (0.92, 1.56)"
URBAN,0,1,1,1
URBAN,1,"1.15 (0.97, 1.35)","1.07 (0.9, 1.27)","1.07 (0.9, 1.27)"
COMORBIDITIES_CAT,0,1,1,1
COMORBIDITIES_CAT,1,"0.94 (0.78, 1.14)","0.94 (0.77, 1.14)","0.94 (0.77, 1.14)"
COMORBIDITIES_CAT,2,"0.76 (0.63, 0.92)**","0.79 (0.64, 0.97)*","0.79 (0.64, 0.97)*"
DEPRESSION,0,1,1,1
DEPRESSION,1,"0.73 (0.62, 0.87)***","0.79 (0.65, 0.97)*","0.79 (0.65, 0.97)*"
PAIN,0,1,1,1
PAIN,1,"0.91 (0.76, 1.09)","1.09 (0.89, 1.33)","1.09 (0.89, 1.33)"
IADL_MONEY,0,1,1,1
IADL_MONEY,1,"0.31 (0.16, 0.63)**","0.27 (0.13, 0.57)***","0.27 (0.13, 0.57)***"
IADL_WALKSA,0,1,1,1
IADL_WALKSA,1,"0.8 (0.67, 0.96)*","0.95 (0.77, 1.17)","0.95 (0.77, 1.17)"
ADL_CAT,0,1,1,1
ADL_CAT,1,"0.96 (0.65, 1.42)","1.37 (0.88, 2.14)","1.37 (0.88, 2.14)"
"1998: Cognition Category: 1=Normal, 2=CIND, 3=Demented",1,1,1,1
"1998: Cognition Category: 1=Normal, 2=CIND, 3=Demented",2,"0.78 (0.61, 0.98)*","0.89 (0.68, 1.16)","0.89 (0.68, 1.16)"
"1998: Cognition Category: 1=Normal, 2=CIND, 3=Demented",3,"0.86 (0.55, 1.34)","0.97 (0.6, 1.58)","0.97 (0.6, 1.58)"
DRINK_CAT,0,1,1,1
DRINK_CAT,1,"1.09 (0.93, 1.27)","1 (0.85, 1.18)","1 (0.85, 1.18)"
DRINK_CAT,2,"0.58 (0.39, 0.88)*","0.65 (0.42, 1)*","0.65 (0.42, 1)*"
SMOKE_CAT,0,1,1,1
SMOKE_CAT,1,"0.59 (0.48, 0.73)***","0.59 (0.48, 0.73)***","0.59 (0.48, 0.73)***"
SMOKE_CAT,2,"0.45 (0.37, 0.53)***","0.46 (0.38, 0.56)***","0.46 (0.38, 0.56)***"
