Factor,Level,Bivariate,Saturated,MICE
RAGENDER: R Gender,1,1,1,1
RAGENDER: R Gender,2,"1.07 (0.91, 1.25)","1 (0.85, 1.19)","1 (0.85, 1.19)"
RACEETH,1,1,1,1
RACEETH,2,"1.23 (0.98, 1.53)","1.17 (0.91, 1.5)","1.17 (0.91, 1.5)"
RACEETH,3,"1.36 (1.02, 1.82)*","1.34 (0.97, 1.85)","1.34 (0.97, 1.85)"
RACEETH,4,"0.75 (0.42, 1.33)","0.79 (0.44, 1.4)","0.79 (0.44, 1.4)"
EDUCATION,0,1,1,1
EDUCATION,1,"1.08 (0.91, 1.28)","0.98 (0.82, 1.18)","0.98 (0.82, 1.18)"
EDUCATION,2,"1.11 (0.86, 1.44)","0.92 (0.69, 1.22)","0.92 (0.69, 1.22)"
WEALTH_CAT,0,1,1,1
WEALTH_CAT,1,"1.23 (1.05, 1.44)*","1.14 (0.95, 1.38)","1.14 (0.95, 1.38)"
MARRIED,0,1,1,1
MARRIED,1,"1.08 (0.92, 1.27)","1.09 (0.84, 1.41)","1.09 (0.84, 1.41)"
h4lvalone:w4 lives alone,0,1,1,1
h4lvalone:w4 lives alone,1,"1.02 (0.85, 1.22)","1.13 (0.85, 1.5)","1.13 (0.85, 1.5)"
URBAN,0,1,1,1
URBAN,1,"1.12 (0.95, 1.33)","1.06 (0.89, 1.26)","1.06 (0.89, 1.26)"
COMORBIDITIES_CAT,0,1,1,1
COMORBIDITIES_CAT,1,"1.02 (0.84, 1.24)","1.05 (0.86, 1.28)","1.05 (0.86, 1.28)"
COMORBIDITIES_CAT,2,"0.96 (0.79, 1.17)","1.06 (0.87, 1.31)","1.06 (0.87, 1.31)"
DEPRESSION,0,1,1,1
DEPRESSION,1,"0.81 (0.68, 0.97)*","0.88 (0.72, 1.07)","0.88 (0.72, 1.07)"
PAIN,0,1,1,1
PAIN,1,"0.85 (0.71, 1.02)","0.94 (0.76, 1.17)","0.94 (0.76, 1.17)"
IADL_MONEY,0,1,1,1
IADL_MONEY,1,"0.6 (0.32, 1.12)","0.62 (0.33, 1.18)","0.62 (0.33, 1.18)"
IADL_WALKSA,0,1,1,1
IADL_WALKSA,1,"0.81 (0.67, 0.97)*","0.86 (0.69, 1.07)","0.86 (0.69, 1.07)"
ADL_CAT,0,1,1,1
ADL_CAT,1,"1 (0.66, 1.49)","1.36 (0.87, 2.1)","1.36 (0.87, 2.1)"
"1998: Cognition Category: 1=Normal, 2=CIND, 3=Demented",1,1,1,1
"1998: Cognition Category: 1=Normal, 2=CIND, 3=Demented",2,"0.93 (0.73, 1.19)","0.91 (0.69, 1.21)","0.91 (0.69, 1.21)"
"1998: Cognition Category: 1=Normal, 2=CIND, 3=Demented",3,"1 (0.62, 1.63)","0.88 (0.51, 1.5)","0.88 (0.51, 1.5)"
DRINK_CAT,0,1,1,1
DRINK_CAT,1,"1.1 (0.94, 1.29)","1.03 (0.87, 1.23)","1.03 (0.87, 1.23)"
DRINK_CAT,2,"0.64 (0.44, 0.95)*","0.65 (0.43, 0.98)*","0.65 (0.43, 0.98)*"
SMOKE_CAT,0,1,1,1
SMOKE_CAT,1,"0.74 (0.6, 0.93)**","0.74 (0.59, 0.93)**","0.74 (0.59, 0.93)**"
SMOKE_CAT,2,"0.52 (0.43, 0.64)***","0.55 (0.44, 0.67)***","0.55 (0.44, 0.67)***"
